time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
997,0,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,843776,1404020,66,24,17,95,98,96,92
1992,0,368500,1,2,0,0.0000056,n/a,n/a,n/a,22,70,1.3,24739.496094,0,0,0,0,22,0,60689.074219,0,0,0,0,0,11,874644,1677556,66,16,18,95,95,94,89
2990,0,368500,1,2.9,0,-0.00000034,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874644,1677556,66,13,18,100,97,97,97
3987,0,368500,1,3.5,0,0.00000026,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874644,1677556,66,18,18,94,96,95,98
4987,0,368500,1,3.3,0,-0.0000036,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,17,18,90,97,91,92
5974,0,368500,1,3.2,0,-0.00000033,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,13,18,85,100,92,83
6972,0,368500,1,3,0,-0.0000021,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,15,18,84,89,95,93
7970,0,368500,1,3.3,0,-0.0000029,n/a,n/a,n/a,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,17,18,85,94,100,100
8966,0,368500,1,3.6,0,-0.0000017,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,85,96,98,99
9964,0,368500,1,3.2,0,-0.00000089,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,90,100,96,91
10963,0,368500,1,3.2,0,-0.0000021,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,86,97,96,89
