time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3
1000,0,0,0,0,0,0,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,841452,1337144,59,26,17,92,100,91,97
1985,0,368500,1,1.1,0,0.0000017,n/a,n/a,n/a,21,72,1.4,18543.720703,0,0,0,0,23,0,60731.320312,0,0,0,0,0,11,874736,1678528,59,20,18,89,91,86,87
2984,0,368500,1,3.1,0,0.0000037,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874736,1678528,59,20,18,97,83,100,81
3982,0,368500,1,3.6,0,-0.0000022,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874956,1678528,59,15,18,74,82,92,73
4980,0,368500,1,3.3,0,0.00000044,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874956,1678528,59,18,18,95,99,95,94
5975,0,368500,1,3,0,0.0000034,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874956,1678528,59,16,18,93,97,93,93
6974,0,368500,1,3.2,0,0.0000012,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,14,18,73,88,66,87
7956,0,368500,1,3.3,0,0.0000027,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,16,18,65,80,90,81
8951,0,368500,1,3.2,0,0.00000015,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,14,18,77,75,100,74
9949,0,368500,1,3.2,0,0.0000018,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,21,18,92,76,99,82
10934,0,368500,1,3.1,0,0.0000018,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,19,18,87,87,99,77
11911,0,368500,1,3.3,0,-0.0000017,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,12,18,59,87,71,75
12902,0,368500,1,3.1,0,-0.00000088,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,15,18,93,88,79,74
13901,0,368500,1,3.2,0,0.0000015,n/a,n/a,n/a,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,17,18,100,79,90,77
14898,0,368500,1,3.2,0,0.0000056,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,19,18,99,81,91,84
15890,0,368500,1,3.5,0,0.0000066,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,58,21,18,100,92,89,76
16887,0,368500,1,3.2,0,0.00000032,n/a,n/a,n/a,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,20,18,84,79,77,91
17877,0,368500,1,3.3,0,0.0000011,n/a,n/a,n/a,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,18,18,100,88,77,80
18874,0,368500,1,3,0,0.0000039,n/a,n/a,n/a,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,875180,1678528,59,19,18,100,83,79,88
