time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;distance_km;speed_kmph;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;sys_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3;cpu_4;cpu_5;cpu_6;cpu_7
499;0;0;0;0.0;0.0;0.0;n/a;n/a;n/a;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.2;841600;1337148;32;19;17;52;86;12;92;92;46;44;72
998;0;368500;1;-1.1;0.0;0.0000079;n/a;n/a;n/a;19;inf;1.5;20394.087891;0;0.0;0.0;0.0;22;0.0;66660.101562;0;0.0;0.0;0.0;0.0;5.4;865720;1604800;32;11;17;56;48;60;84;36;44;50;98
1497;0;368500;1;3.0;0.0;0.0000050;n/a;n/a;n/a;27;inf;1.5;7835.240234;0;0.0;0.0;0.0;26;0.0;24091.533203;0;0.0;0.0;0.0;0.0;5.4;874680;1678532;32;11;18;62;62;66;90;80;56;70;94
1996;0;368500;1;2.8;0.0;0.0000027;n/a;n/a;n/a;0.0;82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;8.2;18;52;66;52;58;52;34;98;86
2494;0;368500;1;3.2;0.0;0.0000011;n/a;n/a;n/a;0.0;73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;10;18;82;70;68;98;66;52;78;70
2993;0;368500;1;3.2;0.0;-0.00000069;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;11;18;56;48;60;96;64;30;68;92
3492;0;368500;1;3.3;0.0;-0.0000018;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;11;18;88;64;42;38;80;48;60;60
3991;0;368500;1;3.1;0.0;0.0000051;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;6.8;18;44;50;52;60;42;58;36;74
4489;0;368500;1;3.2;0.0;0.0000040;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;9.5;18;72;92;76;72;74;56;84;70
4988;0;368500;1;2.4;0.0;-0.0000053;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;5.3;18;72;44;60;72;68;78;84;88
5487;0;368500;1;3.3;0.0;-0.00000088;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;9.2;18;70;56;68;62;74;70;54;84
5985;0;368500;1;3.0;0.0;0.0000047;n/a;n/a;n/a;0.0;70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874852;1678532;32;11;18;100;66;78;80;70;50;60;70
6483;0;368500;1;3.3;0.0;-0.0000046;n/a;n/a;n/a;0.0;72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874960;1678532;32;5.8;18;92;50;52;64;52;42;62;36
6982;0;368500;1;2.8;0.0;0.00000085;n/a;n/a;n/a;0.0;70;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.4;874960;1678532;32;7.5;18;46;30;50;44;56;72;26;62
