Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.22292768752268194,0.8738,29.058754406580494,11.804717334665467,0.011726698500831563,0.0029213907178646443,0.11848417236983566,0.05077760528183432,7.106872944538102,4.239733487694494,0.5392777064977109,0.09788174850624491,0.17784092767421528,0.14687830196215165,15.08281606471672,
distributed,0,0,1,0.2452228032995172,0.8463,1.0,0.0,0.012459775577145732,0.007145079146445572,0.1280598418633341,0.05254499588618908,nan,nan,nan,nan,nan,nan,15.035599066131342,
distributed,0,0,2,0.2337808970105441,0.8573,1.9896907216494846,0.14139190265868384,0.012785648176914261,0.004415880875766651,0.12936831541538812,0.05064244285512211,nan,nan,nan,nan,nan,nan,15.164035892483138,
distributed,0,0,3,0.23035683273239835,0.8611,2.9844961240310077,0.23723870621322174,0.012105190221582815,0.0034833556260737055,0.13697387094311378,0.04501883500983995,nan,nan,nan,nan,nan,nan,15.047665004048735,
distributed,0,0,5,0.2269118703337097,0.8667,4.977777777777778,0.47768755545651215,0.013190240836408488,0.0027443493539893006,0.13936424941861777,0.0543130494438697,nan,nan,nan,nan,nan,nan,14.923288328058076,
distributed,0,0,7,0.2257679129949737,0.8691,6.971896955503513,0.7642166284182021,0.013398657447693238,0.0024344444962727634,0.14852777867571787,0.04847002004675823,nan,nan,nan,nan,nan,nan,14.904766377178593,
distributed,0,0,10,0.22426451597836686,0.8713,9.96896551724138,1.166663246735798,0.012988325001869597,0.002010752430295852,0.12955010513087792,0.05186486528600321,nan,nan,nan,nan,nan,nan,15.152810474730762,
distributed,0,0,20,0.2232684153283588,0.8727,19.948787061994608,4.190876412148972,0.013094864362293466,0.0018681672203540466,0.1387272133875673,0.05492479104064301,nan,nan,nan,nan,nan,nan,15.05057348439658,
distributed,0,0,30,0.22316402959597287,0.8732,29.925831202046037,7.468641927746835,0.013496754542174399,0.0015727735462279068,0.1619583570195007,0.057093774480666944,nan,nan,nan,nan,nan,nan,14.919492376740472,
distributed,0,0,50,0.2230304319941125,0.8738,49.45020746887967,12.757461913214563,0.012796159311413625,0.0009512472417038503,0.12433331554529041,0.05132647461061292,nan,nan,nan,nan,nan,nan,14.946952838915951,
distributed,0,0,70,0.22257375242821406,0.8742,69.06189555125725,16.933232857313456,0.013354806238623066,0.001375204735817251,0.10921219879813107,0.050471173133745446,nan,nan,nan,nan,nan,nan,15.237534226302708,
distributed,0,0,100,0.22276284073346164,0.874,98.03018500486854,32.638061455232844,0.013357144028903261,0.0012709142626102338,0.1395060903990586,0.052224612911902515,nan,nan,nan,nan,nan,nan,15.15652836559382,
distributed,0,1,-1,0.22808173841833407,0.8629,8.746534653465346,2.7555216218139216,0.013033112826125936,0.0028388414022600156,0.12584212102753145,0.051845316943436914,12.200351984530634,3.284934407159441,1.3449390164752266,0.17213384640828847,0.9120865445736832,0.20523691948333045,14.774035281510372,
distributed,0,1,1,0.2470025934742056,0.8457,1.0,0.0,0.013920151877448607,0.0075294982098499065,0.13509264944847965,0.05049874859592235,nan,nan,nan,nan,nan,nan,15.050292933918751,
distributed,0,1,2,0.23466415999399687,0.8554,1.9891304347826086,0.14506169422830154,0.01242236275644346,0.004996403865145602,0.13723197486536706,0.05851034183030224,nan,nan,nan,nan,nan,nan,15.040101929007358,
distributed,0,1,3,0.23117855917281338,0.8582,2.9840637450199203,0.30315526415823824,0.012825175552482856,0.003869187426050937,0.1384737248310089,0.04484023738288091,nan,nan,nan,nan,nan,nan,14.981612878203615,
distributed,0,1,5,0.2285062206547111,0.8622,4.973262032085562,0.5068779022173217,0.012792959896457927,0.003716080120626631,0.13580432546064802,0.057552136705217305,nan,nan,nan,nan,nan,nan,15.066715221186898,
distributed,0,1,7,0.2275974810751159,0.8631,6.97489539748954,0.9995917534020515,0.013465869421141231,0.002573473290294228,0.12353170579721805,0.051206250566566525,nan,nan,nan,nan,nan,nan,15.017048529266175,
distributed,0,1,10,0.22736381489045734,0.865,9.970588235294118,1.577908716741037,0.01330934533374475,0.0024033547896150633,0.11205562026239056,0.054416521378404276,nan,nan,nan,nan,nan,nan,15.095132886087086,
distributed,0,1,20,0.2299039808549711,0.8635,19.9501312335958,4.14095399636364,0.013327944058467763,0.0023163010220048673,0.1303084054764425,0.05411580129810049,nan,nan,nan,nan,nan,nan,15.178955462802955,
distributed,0,1,30,0.2311486643227082,0.8626,29.93348623853211,7.124432905485592,0.012764726884675105,0.0014598496674651264,0.12094645139920525,0.047834680686335146,nan,nan,nan,nan,nan,nan,15.085913063097818,
distributed,0,1,50,0.23605444696708955,0.8578,49.32857142857143,11.14550233153366,0.013478212218531495,0.0024267633555364685,0.11589850882620979,0.04662493655350063,nan,nan,nan,nan,nan,nan,15.141171458123376,
distributed,0,1,70,0.24087211440480866,0.8529,69.65916069600819,17.169223110619253,0.013765982579335074,0.001771336500814951,0.15000271884476987,0.03746858370258118,nan,nan,nan,nan,nan,nan,15.27295650258993,
distributed,0,1,100,0.2420630050215314,0.8531,97.53561253561253,29.303370113350443,0.012174921825032057,0.001594346996770388,0.11597638307723394,0.047568252691558476,nan,nan,nan,nan,nan,nan,14.753787335887063,
distributed,0,2,-1,0.2229118453732744,0.8741,96.9135446685879,43.6971394944795,0.013042593990605634,0.0015087119184564368,0.12519734438639618,0.031859956929300125,1e-05,0.0,5.661683073248756e-17,2.08789486564176e-17,0.0,0.0,15.04986312373857,
distributed,0,2,1,0.24702065141225732,0.8439,1.0,0.0,0.012961230676011218,0.00671607714215505,0.13418304071862702,0.04909598503263147,nan,nan,nan,nan,nan,nan,15.155859953647735,
distributed,0,2,2,0.23427206330474726,0.856,1.9894736842105263,0.1428261375083551,0.012547126389483514,0.004838083045679695,0.13235948898249042,0.059168457173972705,nan,nan,nan,nan,nan,nan,15.088760897997844,
distributed,0,2,3,0.2307913137526505,0.8595,2.9838709677419355,0.3049106779729928,0.012911860329123215,0.003989116159737489,0.14381711091221602,0.05200452370803423,nan,nan,nan,nan,nan,nan,15.268351872295243,
distributed,0,2,5,0.2265178951371536,0.8666,4.980099502487562,0.6170297873499276,0.0130377837351921,0.0027429005756413618,0.12100846139872426,0.06161266843901977,nan,nan,nan,nan,nan,nan,15.170627265021254,
distributed,0,2,7,0.2260592637127705,0.869,6.972477064220183,1.0439558180306292,0.013619136682366206,0.002702599944360087,0.14226238245409387,0.04377767217165347,nan,nan,nan,nan,nan,nan,14.9956361435835,
distributed,0,2,10,0.22501122257951423,0.8703,9.942953020134228,1.2980874029396168,0.012654444929188735,0.0021870472590010447,0.12557377149089055,0.06076569724474738,nan,nan,nan,nan,nan,nan,15.153479376701354,
distributed,0,2,20,0.2239614286315565,0.8699,19.94736842105263,4.242640687119285,0.013440514223088834,0.0019648172749149265,0.1446936036909691,0.04694434595777922,nan,nan,nan,nan,nan,nan,15.20743924161822,
distributed,0,2,30,0.22359396378383814,0.875,29.78359908883827,6.4327142556707155,0.012989862735478917,0.0014831850908617373,0.12121563196342448,0.043771081512386255,nan,nan,nan,nan,nan,nan,15.046927442449187,
distributed,0,2,50,0.22373848262261378,0.8709,49.40981856990395,10.951141493013411,0.01366405126157134,0.002220088297198389,0.12354887011622065,0.05867697697028713,nan,nan,nan,nan,nan,nan,14.863125635483946,
distributed,0,2,70,0.22373848262261378,0.8709,69.53538461538461,17.1697408250678,0.013156749754001277,0.0011394537776332522,0.12899530368716552,0.04137080961176259,nan,nan,nan,nan,nan,nan,14.958347271516717,
distributed,0,2,100,0.22294240187702755,0.874,99.80239520958084,36.89512162874653,0.013074096210844077,0.0021633113836238968,0.138295891002187,0.06724160533641202,nan,nan,nan,nan,nan,nan,15.011274984924418,
distributed,0,3,-1,0.23750038989892586,0.8537,4.2727272727272725,1.343234918155225,0.01306059831497505,0.003976325298837497,0.1307661550233126,0.053702552357189834,25.888545261269083,3.290242461516171,2.7692254775988436,0.3953288975499479,1.7712096020911245,0.42865480132516354,15.109576512249024,
distributed,0,3,1,0.2450133021405524,0.8449,1.0,0.0,0.013235425899068414,0.006880330556708504,0.12488928370316647,0.051962814115211545,nan,nan,nan,nan,nan,nan,15.055593346643601,
distributed,0,3,2,0.23784343279102532,0.8537,1.988888888888889,0.14661169301237728,0.013157287583658557,0.005069800582859629,0.13852898381020062,0.051043616929330744,nan,nan,nan,nan,nan,nan,14.972430894217077,
distributed,0,3,3,0.23521191773792327,0.8555,2.9851301115241635,0.29322338602475456,0.01271775243744447,0.003943175329246778,0.1277360262336106,0.05134441964627352,nan,nan,nan,nan,nan,nan,15.069913809622314,
distributed,0,3,5,0.23823536508013166,0.8552,4.9779005524861875,0.6486486486486487,0.01276423895633615,0.002847715613035219,0.14186811560297757,0.054150646930470656,nan,nan,nan,nan,nan,nan,15.122401090428893,
distributed,0,3,7,0.2406531341324187,0.8508,6.97489539748954,0.9995917534020515,0.012886771086648556,0.0028409740547735616,0.1269597977551077,0.06149281087290908,nan,nan,nan,nan,nan,nan,15.11133625314851,
distributed,0,3,10,0.2474645278154415,0.8451,9.966165413533835,1.6847394776160547,0.01345077692489797,0.002329029562932732,0.14221967381460202,0.0621806498586832,nan,nan,nan,nan,nan,nan,14.945004537626797,
distributed,0,3,20,0.2655375530926315,0.8247,19.948787061994608,4.190876412148972,0.01305842974769944,0.0021165975655128896,0.12842602273983023,0.04955968458598671,nan,nan,nan,nan,nan,nan,14.793082508804728,
distributed,0,3,30,0.27385878758312154,0.8184,29.767726161369193,6.635221121720514,0.013499442701658329,0.001968093207119957,0.1473506944587876,0.03830899216533169,nan,nan,nan,nan,nan,nan,15.047593136421876,
distributed,0,3,50,0.2924253242777018,0.8016,49.89705882352941,14.38363267359428,0.012280687262745185,0.002190384520705686,0.1356901639578639,0.04598048765054247,nan,nan,nan,nan,nan,nan,15.093120763888297,
distributed,0,3,70,0.30123592418557843,0.793,68.67857142857143,18.187419339263673,0.013671798712368772,0.0013711335344157526,0.15152277118563165,0.055056523716130866,nan,nan,nan,nan,nan,nan,14.983063125956786,
distributed,0,3,100,0.3070612919728718,0.7867,99.61155378486056,36.52472526324538,0.011858401747039414,0.0028245228050508696,0.15190327499701634,0.03472458728181598,nan,nan,nan,nan,nan,nan,14.840345588777355,
distributed,1,0,-1,0.22322721722646538,0.8727,31.132147395171536,13.94350115608687,0.013371565187300233,0.0032987215052258274,0.13317096169435888,0.057282879020282215,7.7243427656773145,3.5767660023748906,0.534167094158874,0.08746572652867818,0.1778849585259598,0.15217134950854727,14.739474776529155,
distributed,1,0,1,0.2448709827701711,0.8444,1.0,0.0,0.013185165419117049,0.006999025289204693,0.12453021497066445,0.05428406768285054,nan,nan,nan,nan,nan,nan,15.148691842875966,
distributed,1,0,2,0.2338957340194792,0.8562,1.9894736842105263,0.1428261375083551,0.013426570411953246,0.0046602648169617004,0.12918351102221495,0.05421772424947838,nan,nan,nan,nan,nan,nan,14.949258218043093,
distributed,1,0,3,0.2301887355214795,0.8614,2.984251968503937,0.301429799925947,0.013162874169588867,0.004131556264548777,0.13575001788860558,0.0625086408785541,nan,nan,nan,nan,nan,nan,15.015218034667567,
distributed,1,0,5,0.22720249995988223,0.8648,4.9772727272727275,0.6573421981221795,0.013212830713185355,0.0031334570011012537,0.14102738832688247,0.054332544308789636,nan,nan,nan,nan,nan,nan,14.839007437416631,
